id;start_date;end_date;language
1;2019-12-14T09:20:20;2019-12-14T02:28:37;FRENCH
2;2019-12-13T19:56:35;2019-12-14T08:42:16;ENGLISH
3;2019-12-13T19:23:02;2019-12-13T21:19:22;FRENCH
4;2019-12-14T07:08:52;2019-12-13T23:30:31;ENGLISH
5;2019-12-14T10:18:27;2019-12-14T10:53:24;FRENCH
6;2019-12-13T16:33:45;2019-12-13T13:35:07;SPANISH
7;2019-12-14T01:43:48;2019-12-14T04:46:55;ENGLISH
8;2019-12-14T03:31:45;2019-12-14T11:56:23;FRENCH
9;2019-12-14T04:06:09;2019-12-14T12:43:33;ENGLISH
10;2019-12-13T21:17:05;2019-12-13T20:40:42;SPANISH
